geom,angle,chord,span,ok,cd_ind,cd_total,span_efficiency,l_over_d,cl,cm,x_np,CLa,Cma,Clp,Cmq,Cnb,elevon_sym.CL,elevon_sym.Cm,elevon_diff.Cl,elevon_diff.Cn,elevon_diff.CY,hinge_moments.elevon_sym,hinge_moments.elevon_diff,seconds_avl
lhs30s2000:02,-2.0,8,4,True,0.0032162,0.009723611596448165,0.5984,-16.263504401776526,-0.15814,0.08515,0.3082,3.929426,-1.85054,-0.317273,-4.534745,0.002032,0.013518,-0.009015,-0.003403,-4e-06,-0.000384,-0.0003143,-0.0005647,11.359897800997715
lhs30s2000:02,-2.0,8,6,True,0.0032145,0.009719154267015672,0.5972,-16.2514140284862,-0.15795,0.08504,0.308156,3.926273,-1.848794,-0.316531,-4.531823,0.002023,0.013515,-0.009015,-0.003401,-4e-06,-0.000383,-0.0003141,-0.0005644,24.04444344500007
lhs30s2000:02,-2.0,12,2,True,0.0032272,0.009727900254703506,0.5937,-16.17409676090429,-0.15734,0.08465,0.30819,3.93939,-1.855173,-0.319481,-4.541815,0.002069,0.013764,-0.009111,-0.003468,-1.4e-05,-0.000383,-0.0002396,-0.0004796,6.784366313000646
lhs30s2000:02,-2.0,12,4,True,0.0032172,0.009715272294921036,0.5899,-16.13747872841008,-0.15678,0.08432,0.308068,3.93045,-1.850231,-0.317349,-4.53349,0.002032,0.01375,-0.009106,-0.003458,-1.5e-05,-0.00038,-0.0002394,-0.000479,23.66827377899972
lhs30s2000:02,-2.0,12,6,True,0.0032146,0.009709976992007882,0.5886,-16.126711744928603,-0.15659,0.08421,0.308027,3.927372,-1.848537,-0.316621,-4.53064,0.002015,0.013746,-0.009105,-0.003455,-1.5e-05,-0.000379,-0.0002392,-0.0004787,49.915207834001194
lhs30s2000:02,-2.0,16,2,True,0.0032415,0.009735409158344626,0.586,-16.070202849759035,-0.15645,0.0842,0.308148,3.939817,-1.855124,-0.319513,-4.541465,0.002061,0.013959,-0.00922,-0.003516,-2e-05,-0.000382,-0.0002392,-0.0004859,11.265423170996655
lhs30s2000:02,-2.0,16,4,True,0.0032285,0.00971983831173847,0.5822,-16.03833263478617,-0.15589,0.08387,0.308029,3.930912,-1.850213,-0.317385,-4.533164,0.002025,0.013943,-0.009214,-0.003506,-2.1e-05,-0.000379,-0.000239,-0.0004853,40.22583550499985
lhs30s2000:02,-2.0,16,6,True,0.0032244,0.009713075721238803,0.5809,-16.029937835195017,-0.1557,0.08376,0.307988,3.927869,-1.848538,-0.316663,-4.530338,0.002009,0.01394,-0.009213,-0.003503,-2.2e-05,-0.000378,-0.000239,-0.0004851,83.3284652839975
lhs30s2000:02,0.0,8,2,True,0.0011905,0.00713575480647994,0.0286,-2.9359192640665595,-0.02095,0.02052,0.308837,3.952384,-1.865204,-0.319861,-4.550992,0.001027,0.013589,-0.00905,-0.003424,2.5e-05,-0.000509,-0.0004772,-0.000568,2.98403345800034
lhs30s2000:02,0.0,8,4,True,0.0011897,0.007136402138090144,0.028,-2.90062129339866,-0.0207,0.02036,0.308707,3.943527,-1.860237,-0.317752,-4.54272,0.001017,0.013577,-0.009046,-0.003415,2.5e-05,-0.000506,-0.000476,-0.0005671,11.412159441999393
lhs30s2000:02,0.0,8,6,True,0.0011894,0.0071351508934551595,0.0278,-2.888516347832935,-0.02061,0.02031,0.308664,3.940508,-1.858553,-0.317035,-4.539923,0.001013,0.013575,-0.009046,-0.003413,2.5e-05,-0.000506,-0.0004756,-0.0005669,23.967440513999463
lhs30s2000:02,0.0,12,2,True,0.0012176,0.007158855374713465,0.0246,-2.730883496970002,-0.01955,0.0197,0.3087,3.953135,-1.864728,-0.319899,-4.549569,0.001023,0.013825,-0.009142,-0.00348,1.8e-05,-0.000509,-0.0003953,-0.0004818,6.849509272000432
lhs30s2000:02,0.0,12,4,True,0.0012156,0.007158863704677737,0.0241,-2.6959585761339495,-0.0193,0.01955,0.308572,3.944285,-1.85978,-0.317791,-4.54129,0.001016,0.013811,-0.009136,-0.00347,1.8e-05,-0.000506,-0.0003944,-0.0004811,23.852949741001794
lhs30s2000:02,0.0,12,6,True,0.0012149,0.00715721858179812,0.0239,-2.6854007293949835,-0.01922,0.0195,0.308528,3.941285,-1.858105,-0.317078,-4.538492,0.001014,0.013807,-0.009135,-0.003467,1.8e-05,-0.000505,-0.0003941,-0.0004809,49.605465600998286
lhs30s2000:02,0.0,16,2,True,0.0012437,0.0071834135278375285,0.022,-2.5962587184667254,-0.01865,0.01925,0.308658,3.953492,-1.86464,-0.319922,-4.549199,0.001013,0.014021,-0.009252,-0.003528,1.3e-05,-0.00051,-0.0004024,-0.0004881,11.299379320000298
lhs30s2000:02,0.0,16,4,True,0.0012413,0.007183151138344089,0.0215,-2.5601577421687653,-0.01839,0.01909,0.308531,3.94463,-1.8597,-0.31781,-4.540905,0.001008,0.014006,-0.009245,-0.003518,1.4e-05,-0.000507,-0.0004016,-0.0004875,40.3864873800012
