"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "rms[LM_1]"   ,    "rms[LM_2]"   ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,          48,      -11.32595258,      -9.681305006,      -10.29523314,       -10.9792631,          -12.4795,      -5.457704054,      -3.432277332,   9.949890081e-05,       6.460275057,                40,                40,                40,    0.001789260784,     0.01074890816,      0.6049399963,                 0,                 0,                 0,     0.07811052628,    -0.01036974119,      0.6049466147,                 0,       56.27920409,    0.002390236486
          0,           0,          49,      -11.32586974,        -9.6813066,      -10.29514523,      -10.97918628,      -12.47949842,      -5.457741308,       -3.43220966,   9.949890134e-05,       6.460275058,                40,                40,                40,    0.001789260784,     0.01074850012,      0.6049343318,                 0,                 0,                 0,     0.07810976681,     -0.0103699513,      0.6049409394,                 0,       56.28081363,    0.002390236486
          0,           0,          50,      -11.32578498,      -9.681308162,      -10.29505735,       -10.9791076,      -12.47949677,      -5.457778525,      -3.432142388,   9.949890187e-05,       6.460275059,                40,                40,                40,    0.001789260784,     0.01074809239,      0.6049286657,                 0,                 0,                 0,     0.07810900721,    -0.01037016103,      0.6049352625,                 0,       56.28242144,    0.002390236486
          0,           0,          51,      -11.32569857,       -9.68130969,      -10.29496948,      -10.97902731,      -12.47949503,      -5.457815706,      -3.432075503,    9.94989024e-05,        6.46027506,                40,                40,                40,    0.001789260784,     0.01074768499,       0.604922998,                 0,                 0,                 0,     0.07810824751,    -0.01037037038,      0.6049295841,                 0,       56.28402753,    0.002390236486
          0,           0,          52,      -11.32561045,      -9.681311185,      -10.29488162,      -10.97894522,      -12.47949321,      -5.457852851,      -3.432008965,   9.949890293e-05,       6.460275061,                40,                40,                40,    0.001789260784,     0.01074727792,      0.6049173288,                 0,                 0,                 0,      0.0781074877,    -0.01037057935,      0.6049239041,                 0,       56.28563188,    0.002390236486
          0,           0,          53,      -11.32552069,      -9.681312646,      -10.29479378,      -10.97886124,       -12.4794913,      -5.457889959,      -3.431941166,   9.949890346e-05,       6.460275063,                40,                40,                40,    0.001789260784,     0.01074687118,      0.6049116579,                 0,                 0,                 0,     0.07810672779,    -0.01037078794,      0.6049182225,                 0,       56.28723449,    0.002390236486
          0,           0,          54,      -11.32542988,      -9.681314074,      -10.29470594,      -10.97877598,      -12.47948932,      -5.457927031,      -3.431872928,   9.949890399e-05,       6.460275064,                40,                40,                40,    0.001789260784,     0.01074646476,      0.6049059855,                 0,                 0,                 0,     0.07810596778,    -0.01037099614,      0.6049125394,                 0,       56.28883533,    0.002390236486
          0,           0,          55,      -11.32533834,      -9.681315469,      -10.29461812,      -10.97868967,      -12.47948725,      -5.457964066,      -3.431805029,   9.949890451e-05,       6.460275065,                40,                40,                40,    0.001789260784,     0.01074605868,      0.6049003116,                 0,                 0,                 0,     0.07810520767,    -0.01037120395,      0.6049068547,                 0,       56.29043441,    0.002390236486
          0,           0,          56,       -11.3252466,      -9.681316831,      -10.29453031,      -10.97860284,      -12.47948511,      -5.458001065,       -3.43173741,   9.949890504e-05,       6.460275066,                40,                40,                40,    0.001789260784,     0.01074565294,      0.6048946361,                 0,                 0,                 0,     0.07810444747,    -0.01037141138,      0.6049011685,                 0,       56.29203172,    0.002390236486
          0,           0,          57,      -11.32515501,      -9.681318159,      -10.29444252,      -10.97851582,      -12.47948288,      -5.458038028,      -3.431670066,   9.949890557e-05,       6.460275067,                40,                40,                40,    0.001789260784,     0.01074524753,       0.604888959,                 0,                 0,                 0,     0.07810368719,    -0.01037161842,      0.6048954807,                 0,       56.29362724,    0.002390236486
