case,kind,policy,placement_n_sections,ramp_fraction,max_gap_ratio,sections_in_band,solver_n_strips,solver_n_vortices,worst_all_error,worst_control_error,err_CL,err_CDind,err_CDtotal,err_Cm,err_e,err_Xnp,err_CLa,err_Cma,err_Clp,err_Cmq,err_Cnb,err_CL_de,err_Cm_de,err_Cl_da,err_Cn_da,err_CY_da
max_ar,constructed,uniform_pinned25,25,0.2299571712540133,1.2953094507364686,10,192,4608,0.01478322070879631,0.011494252873563187,0.0012131761479020385,0.0007739339060443923,0.01478322070879631,0.0012172854534389225,0.0016683350016683982,7.208166297948445e-05,0.00020753113608244504,0.00026722697682320855,9.74534862630662e-05,0.0008091689142340889,0.003552065806692825,0.0028186382453977608,0.0018580453363062591,0.0018126888217522444,0.011494252873563187,0.0014684287812039881
max_ar,constructed,current_sum_sqrt_w3,25,0.05283396861946212,2.3454451903411613,10,192,4608,0.03448275862068972,0.03448275862068972,0.004625857492049265,0.007017272093563739,0.02073124205198363,0.0039117825588455175,0.008943358728055644,2.7725715045449225e-06,0.0016282237400102,0.00018612306946048403,0.0008446791978795816,0.002252404089776402,0.00947779223192728,0.013678341174420707,0.011191282579885222,0.011961722488038309,0.03448275862068972,0.010189228529839816
max_ar,constructed,proposed_sqrt_sum_w3,25,0.051954193259561694,2.540702745373949,10,192,4608,0.03448275862068972,0.03448275862068972,0.003997580411856038,0.004802106730694856,0.021123035199310476,0.0030376670716889833,0.008067189744723266,0.00010257462303828597,0.0013210837754560542,0.0007522907304732471,0.0003736081067545286,0.0031433649622358856,0.011498516320474855,0.013076453665765916,0.010243938388974886,0.011370436864153155,0.03448275862068972,0.008746355685131092
max_ar,constructed,proposed_max_channel_w3,25,0.0783699976543428,2.4044511048545694,11,192,4608,0.03448275862068972,0.03448275862068972,0.00381418350168352,0.007729842769731282,0.004805215035146771,0.0028357302005266607,0.004436557231588292,7.208166297948445e-05,0.0016706244759292492,0.00013803261156922783,0.0005495829396460705,0.0022974968178373764,0.010029717682020845,0.0057960832528321845,0.0039308759178225145,0.00571772494733672,0.03448275862068972,0.004392386530014589
max_ar,constructed,proposed_sqrt_sum_w3_no_thickness,25,0.08514886702593391,2.4462110919082076,11,192,4608,0.03448275862068972,0.03448275862068972,0.0028436767687406864,0.006134304081790702,0.002361799500145456,0.0015886428933582083,0.002888247056209783,0.000113662511054409,0.0012829178706254714,0.000694062284161506,0.0002382428506840886,0.00300906899589213,0.008002977852224176,0.004134412385643928,0.0021546920276395904,0.004519433564326551,0.03448275862068972,0.0029325513196480062
max_ar,constructed,proposed_max_channel_w3_no_thickness,25,0.07445507741871345,2.418769635881376,11,192,4608,0.03448275862068972,0.03448275862068972,0.00381418350168352,0.007621408101618792,0.0043389803975961115,0.002802066101752127,0.004436557231588292,0.00010534661809628263,0.001675524831316521,0.0001453111673581666,0.0004683637860037164,0.0023619660250848644,0.010029717682020845,0.006145202352734669,0.004226291984874434,0.006016847172081845,0.03448275862068972,0.004392386530014589
max_ar,constructed,proposed_sqrt_sum_w1,25,0.12432490190462561,1.8079989637440477,11,192,4608,0.03448275862068972,0.03448275862068972,0.002581052964260413,0.004244442723259289,0.010453953851199361,0.001791085127234735,0.002334111370456932,3.326975114229473e-05,0.0009740718767233561,0.00033013449471352833,0.0005631194652530545,0.0018276395206954874,0.006523765144454857,0.005271944468851685,0.0031175771971496714,0.003318250377073824,0.03448275862068972,0.0014684287812039881
max_ar,constructed,proposed_sqrt_sum_w0,25,0.12407477877203034,1.70403823794972,9,192,4608,0.03448275862068972,0.03448275862068972,0.002791163072385932,0.0013613229584022678,0.008751229850871439,0.0026000337666724576,0.007518796992481235,1.3862857523032431e-05,0.0003867806494283778,0.0006641682157426545,0.0006280947881669378,0.0017651347491258592,0.00781831720029791,0.015051331129284954,0.01235475805265491,0.011074528584256123,0.03448275862068972,0.008746355685131092
max_ar,constructed,proposed_sqrt_sum_w3_gap15,25,0.24051608590861698,1.542899853112667,11,192,4608,0.022988505747126374,0.022988505747126374,0.001450192480092799,0.008241034776547229,0.006870922458169631,0.0007442489851150135,0.0024449877750612253,2.7724946352256536e-05,0.0007374024762795936,4.5228979506826446e-05,0.0004656564808823797,0.0007462176800104089,0.00466853408029892,0.0036962069875913378,0.0021546920276395904,0.0012091898428053499,0.022988505747126374,0.0
random_1001,random,uniform_pinned25,25,0.5487179900242533,1.362260261084419,6,192,4608,0.01851851851851847,0.01851851851851847,0.00037200996986715146,0.0003187759005419177,0.0016480139602075886,0.0018092270579957747,0.0030101053536874057,8.631032012506366e-05,7.532417846513667e-05,0.0008931485202933401,0.00018305213532032307,0.0015684458280854224,0.00034322979234587236,0.014499681325685139,0.015001500150015041,0.01768292682926826,0.01851851851851847,0.015999999999999955
random_1001,random,current_sum_sqrt_w3,25,0.14502789343336978,2.2306200741769215,7,192,4608,0.007574949322522132,0.007276178424549198,0.00470231042654026,0.0026113157013726417,0.0025604884305120506,0.0011044176706827208,0.007574949322522132,0.0003711343765374144,0.0016345288677492146,0.0022570448361828744,0.00252865463137608,0.004733891021996823,0.0020558506081891138,0.007276178424549198,0.0038852361028093216,0.005457853244390606,0.0,0.003984063745019801
random_1001,random,proposed_sqrt_sum_w3,25,0.13796464019657068,2.077326320152147,7,192,4608,0.006939254830788887,0.005860921907175623,0.004849696431215879,0.0028616852146263793,0.002040632029925133,0.002006219279767336,0.006939254830788887,0.0003064016364437364,0.0015378288583704053,0.0020000419856140835,0.002190118902038895,0.00427160924597825,0.001371506943253785,0.005860921907175623,0.0026929982046678316,0.005457853244390606,0.0,0.003984063745019801
