policy,geometry_index,attempts,seconds,accepted_template,accepted_quality,reached_preferred,succeeded,stopped_early
learned ranking (design only),73,1,24.700699081000494,56,0.23741366776209036,True,True,False
learned ranking (design only),74,1,18.761003572000845,47,0.2278698296627202,True,True,False
learned ranking (design only),75,1,20.014335569998366,42,0.23561208074456128,True,True,False
learned ranking (design only),76,1,23.75763968299907,81,0.23066650340925565,True,True,False
learned ranking (design only),77,1,18.6792540990009,29,0.21963754431670562,True,True,False
learned ranking (design only),78,1,20.035986271999718,42,0.23105685646721358,True,True,False
learned ranking (design only),79,1,25.527796510999906,70,0.19075158703716835,True,True,False
learned ranking (design only),80,1,24.59339942800034,56,0.18017633370155337,True,True,False
learned ranking (design only),81,1,23.78351512500012,81,0.23194615081934394,True,True,False
learned ranking (design only),82,1,25.455009806999442,70,0.23184907801873833,True,True,False
learned ranking (design only),83,1,20.073158960998626,42,0.24189829546753208,True,True,False
learned ranking (design only),84,1,23.68867787599993,81,0.22400555949162398,True,True,False
learned ranking (design only),85,1,19.748576039999534,85,0.19909278355980742,True,True,False
learned ranking (design only),86,1,25.459937804998845,70,0.22583805550417976,True,True,False
learned ranking (design only),87,1,20.042804553999304,42,0.22923685898467233,True,True,False
learned ranking (design only),88,1,20.100868899999114,88,0.1914548627603411,True,True,False
learned ranking (design only),89,2,29.43568751300154,85,0.17418398241792596,True,True,False
learned ranking (design only),90,1,19.72520659699876,90,0.23243170398110294,True,True,False
learned ranking (design only),91,1,21.90937133099942,8,0.23309388479260754,True,True,False
learned ranking (design only),92,1,25.55845232000138,92,0.19040354831202808,True,True,False
learned ranking (design only),93,1,20.018292169001143,42,0.23782557024326356,True,True,False
learned ranking (design only),94,1,19.75013067100008,94,0.2264396033299129,True,True,False
learned ranking (design only),95,21,253.71692757300116,95,0.14681110308186857,False,True,False
learned ranking (design only),96,1,25.47139300100025,70,0.15415554098866818,True,True,False
learned ranking (design only),97,1,20.031455368000024,42,0.17337045194977407,True,True,False
learned ranking (design only),98,1,19.982499820000157,42,0.24062483324894013,True,True,False
learned ranking (design only),99,1,19.61458205300005,85,0.22945982476712615,True,True,False
learned ranking + accept-first-valid (design only),0,1,25.58394915700046,56,0.22677537296560618,True,True,False
