campaign,config_key,eps_e,first_cell_fraction,normal_points,volume_level,preferred_quality,geometry_id,geometry_index,template_index,attempt_ordinal,n_attempts_for_geometry,state,outcome,selected,min_scaled_quality,surface_min_scaled_jacobian,inverted_cells,min_volume,distance_rms,elapsed_s,wall_error_m,interface_max_mismatch_m,is_identity,row_state,accepted_template_index,accepted_min_scaled_quality
development_atlas_maximin16_production_written_v2,1.5|3.5999999999999994e-06|257|production,1.5,3.5999999999999994e-06,257.0,production,0.15,lhs100_seed42_021,21,41,3,3,PASS,PASS,True,0.23337093780893794,0.24270141290605649,0.0,7.580584738081678e-12,0.3741801635434463,14.874004658002377,3.469446951953614e-18,3.552713678800501e-15,False,PASS,41.0,0.23337093780893794
development_atlas_maximin16_production_written_v2,1.5|3.5999999999999994e-06|257|production,1.5,3.5999999999999994e-06,257.0,production,0.15,lhs100_seed42_021,21,42,2,3,SURFACE_BUILD_ERROR,SURFACE_BUILD_ERROR,False,,,,,0.3671578098004713,0.0032834209996508434,,,False,PASS,41.0,0.23337093780893794
development_atlas_maximin16_production_written_v2,1.5|3.5999999999999994e-06|257|production,1.5,3.5999999999999994e-06,257.0,production,0.15,lhs100_seed42_021,21,88,1,3,SURFACE_BUILD_ERROR,SURFACE_BUILD_ERROR,False,,,,,0.3272543865069713,0.0035620409980765544,,,False,PASS,41.0,0.23337093780893794
development_atlas_qualified21_production_written_v3,1.5|3.5999999999999994e-06|257|production,1.5,3.5999999999999994e-06,257.0,production,0.15,lhs100_seed42_021,21,94,3,4,SURFACE_BUILD_ERROR,SURFACE_BUILD_ERROR,False,,,,,0.37025924434021995,0.006818583000494982,,,False,PASS,41.0,0.23337093780893794
development_atlas_maximin16_production_written_v2,1.5|3.5999999999999994e-06|257|production,1.5,3.5999999999999994e-06,257.0,production,0.15,lhs100_seed42_022,22,92,1,1,PASS,PASS,True,0.18632440061177116,0.2413364972912543,0.0,6.7219117552209966e-12,0.3044628564756159,15.873229016997357,1.734723475976807e-18,3.552713678800501e-15,False,PASS,92.0,0.18632440061177116
development_atlas_maximin16_production_written_v2,1.5|3.5999999999999994e-06|257|production,1.5,3.5999999999999994e-06,257.0,production,0.15,lhs100_seed42_023,23,42,1,1,PASS,PASS,True,0.2350409558422074,0.24280429385109162,0.0,5.568121697950998e-12,0.340219323231396,12.386470789002487,3.469446951953614e-18,3.552713678800501e-15,False,PASS,42.0,0.2350409558422074
development_atlas_maximin16_production_written_v2,1.5|3.5999999999999994e-06|257|production,1.5,3.5999999999999994e-06,257.0,production,0.15,lhs100_seed42_024,24,24,1,1,PASS,PASS,True,0.22456372422482881,0.2406739977977989,0.0,6.073941699993771e-12,0.0,21.408593999000004,2.168404344971009e-19,3.552713678800501e-15,True,PASS,24.0,0.22456372422482881
development_atlas_maximin16_production_written_v2,1.5|3.5999999999999994e-06|257|production,1.5,3.5999999999999994e-06,257.0,production,0.15,lhs100_seed42_025,25,42,1,1,PASS,PASS,True,0.23457725564667328,0.23602486798238445,0.0,6.12385731717507e-12,0.3233923439181254,20.12603060499896,6.938893903907228e-18,3.552713678800501e-15,False,PASS,42.0,0.23457725564667328
development_atlas_qualified21_production_written_v3,1.5|3.5999999999999994e-06|257|production,1.5,3.5999999999999994e-06,257.0,production,0.15,lhs100_seed42_025,25,94,1,1,PASS,PASS,True,0.2291825380068795,0.23602486798238445,0.0,6.73887613916748e-12,0.3068160288150759,19.75315886899989,6.938893903907228e-18,3.552713678800501e-15,False,PASS,94.0,0.2291825380068795
development_atlas_maximin16_production_written_v2,1.5|3.5999999999999994e-06|257|production,1.5,3.5999999999999994e-06,257.0,production,0.15,lhs100_seed42_026,26,42,1,1,PASS,PASS,True,0.2351639532620596,0.2429912831018432,0.0,5.317283706515769e-12,0.2990523474013465,20.066738362998876,6.938893903907228e-18,3.552713678800501e-15,False,PASS,42.0,0.2351639532620596
development_atlas_maximin16_production_written_v2,1.5|3.5999999999999994e-06|257|production,1.5,3.5999999999999994e-06,257.0,production,0.15,lhs100_seed42_027,27,65,1,1,PASS,PASS,True,0.15822957963273449,0.2412228110954843,0.0,7.458469902518677e-12,0.32816422171211596,16.45190201999867,3.469446951953614e-18,3.552713678800501e-15,False,PASS,65.0,0.15822957963273449
development_atlas_qualified21_production_written_v3,1.5|3.5999999999999994e-06|257|production,1.5,3.5999999999999994e-06,257.0,production,0.15,lhs100_seed42_027,27,89,1,2,FAIL,FAIL_FOLDED,False,-0.07696502614295311,0.2412228110954843,12.0,-7.236451815687405e-08,0.31302585082997003,8.51491988700036,6.938893903907228e-18,3.552713678800501e-15,False,PASS,65.0,0.15822957963273449
development_atlas_maximin16_production_written_v2,1.5|3.5999999999999994e-06|257|production,1.5,3.5999999999999994e-06,257.0,production,0.15,lhs100_seed42_028,28,16,1,1,PASS,PASS,True,0.22267317430552155,0.24399356241751233,0.0,5.775171140765757e-12,0.3347085964427676,16.672700232000352,3.469446951953614e-18,3.552713678800501e-15,False,PASS,16.0,0.22267317430552155
development_atlas_maximin16_production_written_v2,1.5|3.5999999999999994e-06|257|production,1.5,3.5999999999999994e-06,257.0,production,0.15,lhs100_seed42_029,29,29,1,1,PASS,PASS,True,0.20497485775217694,0.22256226328096446,0.0,7.462572501816773e-12,0.0,17.6379998850025,2.168404344971009e-19,3.552713678800501e-15,True,PASS,29.0,0.20497485775217694
development_atlas_maximin16_production_written_v2,1.5|3.5999999999999994e-06|257|production,1.5,3.5999999999999994e-06,257.0,production,0.15,lhs100_seed42_030,30,81,1,1,PASS,PASS,True,0.22779845342141897,0.2399061633860235,0.0,6.861073958527842e-12,0.27187439224754184,22.566540015999635,1.734723475976807e-18,3.552713678800501e-15,False,PASS,81.0,0.22779845342141897
development_atlas_maximin16_production_written_v2,1.5|3.5999999999999994e-06|257|production,1.5,3.5999999999999994e-06,257.0,production,0.15,lhs100_seed42_031,31,24,1,2,FAIL,FAIL_FOLDED,False,-0.48882441713678826,0.2436090282171306,5198.0,-8.156621111415989e-08,0.3158304354771582,12.095062947999395,1.734723475976807e-18,3.552713678800501e-15,False,PASS,42.0,0.23647458851221143
development_atlas_maximin16_production_written_v2,1.5|3.5999999999999994e-06|257|production,1.5,3.5999999999999994e-06,257.0,production,0.15,lhs100_seed42_031,31,42,2,2,PASS,PASS,True,0.23647458851221143,0.2436090282171306,0.0,6.105851092903027e-12,0.3243607297889537,18.997470710000925,6.938893903907228e-18,3.552713678800501e-15,False,PASS,42.0,0.23647458851221143
development_atlas_maximin16_production_written_v2,1.5|3.5999999999999994e-06|257|production,1.5,3.5999999999999994e-06,257.0,production,0.15,lhs100_seed42_032,32,70,1,1,PASS,PASS,True,0.20761238718027306,0.2438736125388541,0.0,5.54151281181921e-12,0.33959880163644096,24.04219799099883,3.469446951953614e-18,3.552713678800501e-15,False,PASS,70.0,0.20761238718027306
development_atlas_maximin16_production_written_v2,1.5|3.5999999999999994e-06|257|production,1.5,3.5999999999999994e-06,257.0,production,0.15,lhs100_seed42_033,33,70,1,1,PASS,PASS,True,0.20501075564931495,0.22551897310639946,0.0,5.295395307551638e-12,0.2894809925505594,24.374675777002267,1.734723475976807e-18,3.552713678800501e-15,False,PASS,70.0,0.20501075564931495
development_atlas_maximin16_production_written_v2,1.5|3.5999999999999994e-06|257|production,1.5,3.5999999999999994e-06,257.0,production,0.15,lhs100_seed42_034,34,42,2,2,PASS,PASS,True,0.17942038667453036,0.2228385117179358,0.0,6.068076818357975e-12,0.3323497988854917,18.976974124998378,3.469446951953614e-18,3.552713678800501e-15,False,PASS,42.0,0.17942038667453036
development_atlas_maximin16_production_written_v2,1.5|3.5999999999999994e-06|257|production,1.5,3.5999999999999994e-06,257.0,production,0.15,lhs100_seed42_034,34,68,1,2,SURFACE_BUILD_ERROR,SURFACE_BUILD_ERROR,False,,,,,0.3067655400520909,0.006890510001539951,,,False,PASS,42.0,0.17942038667453036
development_atlas_qualified21_production_written_v3,1.5|3.5999999999999994e-06|257|production,1.5,3.5999999999999994e-06,257.0,production,0.15,lhs100_seed42_034,34,85,1,1,PASS,PASS,True,0.20693503092107302,0.2228385117179358,0.0,7.726792685514754e-12,0.2207353220747477,19.69436743500046,1.734723475976807e-18,3.552713678800501e-15,False,PASS,85.0,0.20693503092107302
development_atlas_maximin16_production_written_v2,1.5|3.5999999999999994e-06|257|production,1.5,3.5999999999999994e-06,257.0,production,0.15,lhs100_seed42_035,35,43,1,1,PASS,PASS,True,0.18672539850432288,0.2437559020612967,0.0,5.060662416221495e-12,0.2938591240597983,19.35540914500234,3.469446951953614e-18,3.552713678800501e-15,False,PASS,43.0,0.18672539850432288
development_atlas_maximin16_production_written_v2,1.5|3.5999999999999994e-06|257|production,1.5,3.5999999999999994e-06,257.0,production,0.15,lhs100_seed42_036,36,41,2,2,PASS,PASS,True,0.2080470294785955,0.22986359011558352,0.0,6.2876405780195146e-12,0.35508214774413355,22.49235517499983,1.734723475976807e-18,3.552713678800501e-15,False,PASS,41.0,0.2080470294785955
development_atlas_maximin16_production_written_v2,1.5|3.5999999999999994e-06|257|production,1.5,3.5999999999999994e-06,257.0,production,0.15,lhs100_seed42_036,36,42,1,2,SURFACE_BUILD_ERROR,SURFACE_BUILD_ERROR,False,,,,,0.32814297412989696,0.007106278997525806,,,False,PASS,41.0,0.2080470294785955
development_atlas_qualified21_production_written_v3,1.5|3.5999999999999994e-06|257|production,1.5,3.5999999999999994e-06,257.0,production,0.15,lhs100_seed42_036,36,94,1,3,SURFACE_BUILD_ERROR,SURFACE_BUILD_ERROR,False,,,,,0.3244213315474699,0.007169899001382873,,,False,PASS,95.0,0.20972515600022185
development_atlas_qualified21_production_written_v3,1.5|3.5999999999999994e-06|257|production,1.5,3.5999999999999994e-06,257.0,production,0.15,lhs100_seed42_036,36,95,3,3,PASS,PASS,True,0.20972515600022185,0.22986359011558352,0.0,5.4341760197536105e-12,0.34400796033722164,22.791986562000602,3.469446951953614e-18,3.552713678800501e-15,False,PASS,95.0,0.20972515600022185
development_atlas_qualified21_production_written_v3,1.5|3.5999999999999994e-06|257|production,1.5,3.5999999999999994e-06,257.0,production,0.15,lhs100_seed42_037,37,8,2,5,FAIL,FAIL_FOLDED,False,-0.9991394809272809,0.2422722120828451,17958.0,-1.0110487123821847e-06,0.3587431283550734,11.355382986001132,3.469446951953614e-18,3.552713678800501e-15,False,PASS,68.0,0.2366829595275011
