"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,        1871,      -6.810838399,      -3.623589174,      -3.972942855,      -1.398480122,      -7.221497616,       2884.257161,     0.01505503878,       1.101918304,                 0,                 0,                 0,   -0.003405899448,     -0.1765197866,       1.087791969,                 0,       73.19265798,     0.03438518899
          0,           0,        1872,      -6.773024523,      -3.623587519,      -3.968728521,      -1.347799394,       -7.22150509,       2884.257161,     0.01505502764,       1.101917886,                 0,                 0,                 0,   -0.003406051722,      -0.176519725,       1.087791556,                 0,       73.19268439,     0.03438518899
          0,           0,        1873,      -6.728704305,      -3.623581907,      -3.963595118,      -1.291736579,      -7.221512561,       2884.257161,     0.01505500901,       1.101917258,                 0,                 0,                 0,   -0.003406357748,     -0.1765196342,       1.087790934,                 0,       73.19273321,     0.03438518899
          0,           0,        1874,      -6.720727798,      -3.623602776,      -3.964839603,      -1.281899006,      -7.221520028,       2884.257161,     0.01505499006,       1.101916626,                 0,                 0,                 0,   -0.003406665487,     -0.1765195432,       1.087790308,                 0,       73.19278337,     0.03438518899
          0,           0,        1875,      -6.781267694,      -3.623654925,      -3.973900572,      -1.358319521,       -7.22152749,       2884.257161,     0.01505498982,       1.101916535,                 0,                 0,                 0,   -0.003406574627,     -0.1765195275,       1.087790218,                 0,       73.19277848,     0.03438518899
          0,           0,        1876,      -6.830395097,      -3.623681345,      -3.976782694,       -1.42567314,      -7.221534949,       2884.257161,     0.01505500043,       1.101916751,                 0,                 0,                 0,    -0.00340625818,     -0.1765195546,       1.087790433,                 0,       73.19274123,     0.03438518899
          0,           0,        1877,      -6.810664381,      -3.623681193,      -3.972941968,      -1.398227741,      -7.221542403,       2884.257161,     0.01505500067,       1.101916661,                 0,                 0,                 0,   -0.003406168713,     -0.1765195387,       1.087790344,                 0,       73.19273407,     0.03438518899
          0,           0,        1878,      -6.772678016,      -3.623679608,      -3.968758316,      -1.347335349,      -7.221549853,       2884.257161,     0.01505498927,       1.101916234,                 0,                 0,                 0,   -0.003406327588,     -0.1765194758,       1.087789922,                 0,       73.19276116,     0.03438518899
          0,           0,        1879,      -6.729610994,      -3.623674708,      -3.963806812,      -1.292847521,      -7.221557299,       2884.257161,     0.01505497081,       1.101915609,                 0,                 0,                 0,   -0.003406630988,     -0.1765193855,       1.087789304,                 0,       73.19280941,     0.03438518899
          0,           0,        1880,      -6.722436992,      -3.623696133,      -3.965196716,      -1.283981658,      -7.221564741,       2884.257161,     0.01505495202,       1.101914981,                 0,                 0,                 0,   -0.003406936519,     -0.1765192949,       1.087788681,                 0,       73.19285902,     0.03438518899
