# NACA 4412, alpha=13.87, Re=1.52 million, 897x257 grid, CFL3D with SA model
#    x = x/c
#    y = y/c
#    uv = (u'v'/Uinf^2)/(0.93^2)
#    (0.93^2 needed to put normalization in terms of experimental ref location below and behind airfoil)
VARIABLES = "x","y","uv"
ZONE T="x=.6753"
 7.863077521E-01 5.107469112E-02 -8.750358216E-10
 7.863082886E-01 5.107754841E-02 -1.258554261E-09
 7.863088250E-01 5.108051747E-02 -1.722316845E-09
 7.863094211E-01 5.108359829E-02 -2.391332243E-09
 7.863100171E-01 5.108680204E-02 -3.331303011E-09
 7.863106728E-01 5.109013617E-02 -4.536712339E-09
 7.863113284E-01 5.109360814E-02 -6.253844109E-09
 7.863120437E-01 5.109722912E-02 -8.656314776E-09
 7.863127589E-01 5.110100657E-02 -1.174423314E-08
 7.863135338E-01 5.110494792E-02 -1.599772226E-08
 7.863143086E-01 5.110906437E-02 -2.220696338E-08
 7.863151431E-01 5.111336708E-02 -3.016259598E-08
 7.863159776E-01 5.111786351E-02 -4.080000693E-08
 7.863169312E-01 5.112257227E-02 -5.622115040E-08
 7.863178253E-01 5.112749711E-02 -7.745018138E-08
 7.863188386E-01 5.113265291E-02 -1.052233642E-07
 7.863198519E-01 5.113805458E-02 -1.426023886E-07
 7.863209844E-01 5.114371330E-02 -1.962404355E-07
 7.863221169E-01 5.114964396E-02 -2.709546436E-07
 7.863233089E-01 5.115586147E-02 -3.692690598E-07
 7.863245606E-01 5.116238073E-02 -5.034295896E-07
 7.863258719E-01 5.116921663E-02 -6.843909546E-07
 7.863272429E-01 5.117639154E-02 -9.475043043E-07
 7.863286734E-01 5.118391663E-02 -1.304788270E-06
 7.863301635E-01 5.119181424E-02 -1.778645242E-06
 7.863317728E-01 5.120010301E-02 -2.425386128E-06
 7.863334417E-01 5.120880157E-02 -3.291804433E-06
 7.863351703E-01 5.121793598E-02 -4.539304882E-06
 7.863370180E-01 5.122752488E-02 -6.227593985E-06
 7.863389850E-01 5.123759806E-02 -8.453418559E-06
 7.863410115E-01 5.124817044E-02 -1.144367343E-05
 7.863430977E-01 5.125927925E-02 -1.537757271E-05
 7.863453627E-01 5.127094314E-02 -2.064760702E-05
 7.863476872E-01 5.128319934E-02 -2.768479499E-05
 7.863501906E-01 5.129607022E-02 -3.667589408E-05
 7.863527536E-01 5.130959302E-02 -4.778836592E-05
 7.863554955E-01 5.132380128E-02 -6.157311873E-05
 7.863583565E-01 5.133872852E-02 -7.812741387E-05
 7.863613367E-01 5.135441199E-02 -9.771686018E-05
 7.863644958E-01 5.137088895E-02 -1.202271669E-04
 7.863678336E-01 5.138820410E-02 -1.450418204E-04
 7.863713503E-01 5.140640214E-02 -1.716332627E-04
 7.863749862E-01 5.142552033E-02 -1.996922656E-04
 7.863788605E-01 5.144561455E-02 -2.286630479E-04
 7.863829136E-01 5.146672577E-02 -2.580250148E-04
 7.863871455E-01 5.148891732E-02 -2.870497119E-04
 7.863916159E-01 5.151223764E-02 -3.158041800E-04
 7.863963246E-01 5.153674260E-02 -3.442205198E-04
 7.864012718E-01 5.156249925E-02 -3.723007394E-04
 7.864064574E-01 5.158956721E-02 -4.001526977E-04
 7.864118814E-01 5.161801726E-02 -4.278474953E-04
 7.864176631E-01 5.164791644E-02 -4.554409243E-04
